,Locality,Total Count,Total Expenditures,month,year
9887,137 - Orange,149,126666,11,2024
10879,137 - Orange,154,119835,10,2024
11875,137 - Orange,156,121460,9,2024
936,137 - Orange,148,110738,4,2025
3923,137 - Orange,148,128685,2,2025
4917,137 - Orange,149,120885,1,2025
6907,137 - Orange,158,125501,6,2025
7902,137 - Orange,145,105128,3,2025
8893,137 - Orange,154,122829,5,2025
1061,139 - Page,24,7636,8,2017
2060,139 - Page,15,2897,12,2017
5042,139 - Page,23,7194,7,2017
9019,139 - Page,18,4541,11,2017
10012,139 - Page,18,4215,10,2017
11004,139 - Page,22,7781,9,2017
66,139 - Page,REDACTED,1920,4,2018
1186,139 - Page,10,4436,8,2018
2184,139 - Page,REDACTED,1666,12,2018
3053,139 - Page,12,2909,2,2018
4049,139 - Page,18,3969,1,2018
5167,139 - Page,16,4832,7,2018
6037,139 - Page,REDACTED,2203,6,2018
7033,139 - Page,11,2307,3,2018
8029,139 - Page,REDACTED,2016,5,2018
9142,139 - Page,REDACTED,3072,11,2018
10136,139 - Page,REDACTED,2758,10,2018
11129,139 - Page,10,4190,9,2018
190,139 - Page,REDACTED,1896,4,2019
1311,139 - Page,REDACTED,2141,8,2019
2308,139 - Page,REDACTED,2448,12,2019
3178,139 - Page,REDACTED,1483,2,2019
4173,139 - Page,REDACTED,1534,1,2019
5291,139 - Page,REDACTED,1196,7,2019
6161,139 - Page,REDACTED,2093,6,2019
7157,139 - Page,REDACTED,1555,3,2019
8153,139 - Page,REDACTED,1638,5,2019
9266,139 - Page,REDACTED,2176,11,2019
10260,139 - Page,REDACTED,1594,10,2019
11254,139 - Page,REDACTED,2116,9,2019
316,139 - Page,13,6716,4,2020
1435,139 - Page,10,3553,8,2020
2429,139 - Page,14,5400.4,12,2020
3303,139 - Page,15,5497,2,2020
4298,139 - Page,10,3827,1,2020
5415,139 - Page,12,4532,7,2020
6285,139 - Page,13,4056,6,2020
7283,139 - Page,14,3097,3,2020
8276,139 - Page,13,4968,5,2020
9388,139 - Page,15,5697.8,11,2020
10381,139 - Page,REDACTED,1262,10,2020
11376,139 - Page,REDACTED,6079,9,2020
437,139 - Page,19,7226.8,4,2021
1559,139 - Page,16,7468.82,8,2021
2553,139 - Page,18,7023.42,12,2021
3424,139 - Page,14,3758.8,2,2021
4419,139 - Page,14,4803.4,1,2021
5537,139 - Page,17,8683.96,7,2021
6407,139 - Page,19,6880,6,2021
7404,139 - Page,16,5857.6,3,2021
8394,139 - Page,18,6439.57,5,2021
9512,139 - Page,18,6439.51,11,2021
10505,139 - Page,20,6723.82,10,2021
11501,139 - Page,15,6941.22,9,2021
561,139 - Page,REDACTED,4474.13,4,2022
1684,139 - Page,12,5781.51,8,2022
2678,139 - Page,37,48906.68,12,2022
3547,139 - Page,10,4002.11,2,2022
4543,139 - Page,18,6846.93,1,2022
5661,139 - Page,11,6068.82,7,2022
6531,139 - Page,11,5348.82,6,2022
7528,139 - Page,REDACTED,3812.2,3,2022
8518,139 - Page,REDACTED,4050.51,5,2022
9637,139 - Page,22,19904.74,11,2022
10630,139 - Page,13,6748.02,10,2022
11626,139 - Page,14,6845.53,9,2022
686,139 - Page,29,22027.62,4,2023
1809,139 - Page,54,43761.74,8,2023
2802,139 - Page,57,46988.8,12,2023
3672,139 - Page,44,37559.68,2,2023
4668,139 - Page,39,38343.68,1,2023
5786,139 - Page,37,21176.68,7,2023
6656,139 - Page,REDACTED,6779.62,6,2023
7653,139 - Page,38,23928.8,3,2023
8643,139 - Page,22,18012.8,5,2023
9761,139 - Page,52,43750.8,11,2023
10755,139 - Page,59,42812.9,10,2023
11750,139 - Page,47,38987.6,9,2023
811,139 - Page,70,59318.9,4,2024
1935,139 - Page,73,72883.43,8,2024
2929,139 - Page,82,64530.4,12,2024
3797,139 - Page,66,55027.7,2,2024
4791,139 - Page,66,54095.9,1,2024
5913,139 - Page,72,63531.97,7,2024
6781,139 - Page,69,61159.25,6,2024
7777,139 - Page,60,44742.9,3,2024
8768,139 - Page,64,58131.8,5,2024
9888,139 - Page,77,64076.21,11,2024
10880,139 - Page,72,57687.67,10,2024
11876,139 - Page,73,59241.94,9,2024
937,139 - Page,89,71459.09,4,2025
3924,139 - Page,81,66323.51,2,2025
4918,139 - Page,81,62868.94,1,2025
6908,139 - Page,95,74275.38,6,2025
7903,139 - Page,78,56221.8,3,2025
8894,139 - Page,89,76164.38,5,2025
1062,141 - Patrick,REDACTED,902,8,2017
5043,141 - Patrick,REDACTED,578,7,2017
11005,141 - Patrick,REDACTED,120,9,2017
1187,141 - Patrick,REDACTED,1931,8,2018
2185,141 - Patrick,REDACTED,539,12,2018
3054,141 - Patrick,11,3789,2,2018
5168,141 - Patrick,REDACTED,689,7,2018
9143,141 - Patrick,REDACTED,653,11,2018
10137,141 - Patrick,REDACTED,911,10,2018
11130,141 - Patrick,REDACTED,615,9,2018
191,141 - Patrick,REDACTED,588,4,2019
1312,141 - Patrick,REDACTED,432,8,2019
2309,141 - Patrick,REDACTED,504,12,2019
3179,141 - Patrick,REDACTED,687,2,2019
4174,141 - Patrick,REDACTED,608,1,2019
5292,141 - Patrick,REDACTED,480,7,2019
6162,141 - Patrick,REDACTED,584,6,2019
7158,141 - Patrick,REDACTED,560,3,2019
8154,141 - Patrick,REDACTED,616,5,2019
9267,141 - Patrick,REDACTED,552,11,2019
10261,141 - Patrick,REDACTED,504,10,2019
11255,141 - Patrick,REDACTED,528,9,2019
317,141 - Patrick,REDACTED,240,4,2020
1436,141 - Patrick,REDACTED,852,8,2020
2430,141 - Patrick,REDACTED,1752,12,2020
3304,141 - Patrick,REDACTED,552,2,2020
4299,141 - Patrick,REDACTED,408,1,2020
7284,141 - Patrick,REDACTED,480,3,2020
9389,141 - Patrick,REDACTED,1844,11,2020
10382,141 - Patrick,REDACTED,1711,10,2020
11377,141 - Patrick,REDACTED,1908,9,2020
438,141 - Patrick,REDACTED,2527,4,2021
1560,141 - Patrick,REDACTED,4995,8,2021
2554,141 - Patrick,REDACTED,5112,12,2021
3425,141 - Patrick,REDACTED,2089,2,2021
4420,141 - Patrick,REDACTED,2087,1,2021
5538,141 - Patrick,REDACTED,3940,7,2021
6408,141 - Patrick,REDACTED,6461,6,2021
7405,141 - Patrick,REDACTED,2420,3,2021
8395,141 - Patrick,REDACTED,2376,5,2021
9513,141 - Patrick,REDACTED,4263,11,2021
10506,141 - Patrick,REDACTED,2944,10,2021
11502,141 - Patrick,REDACTED,3886,9,2021
562,141 - Patrick,20,9286,4,2022
1685,141 - Patrick,26,11574,8,2022
2679,141 - Patrick,17,13697,12,2022
3548,141 - Patrick,15,7316,2,2022
4544,141 - Patrick,11,5783,1,2022
5662,141 - Patrick,24,10933,7,2022
6532,141 - Patrick,23,8580,6,2022
7529,141 - Patrick,18,7608,3,2022
8519,141 - Patrick,23,10992,5,2022
9638,141 - Patrick,19,14192,11,2022
10631,141 - Patrick,21,9971,10,2022
11627,141 - Patrick,23,11796,9,2022
687,141 - Patrick,25,16662,4,2023
1810,141 - Patrick,20,13760,8,2023
2803,141 - Patrick,25,18931.46,12,2023
3673,141 - Patrick,25,16667,2,2023
4669,141 - Patrick,22,17248,1,2023
5787,141 - Patrick,23,15760,7,2023
6657,141 - Patrick,26,16807,6,2023
7654,141 - Patrick,24,15145,3,2023
8644,141 - Patrick,25,13927,5,2023
9762,141 - Patrick,26,18221.1,11,2023
10756,141 - Patrick,25,14884.19,10,2023
11751,141 - Patrick,18,10124.08,9,2023
812,141 - Patrick,21,14519.53,4,2024
1936,141 - Patrick,34,26028.47,8,2024
2930,141 - Patrick,28,19031,12,2024
3798,141 - Patrick,22,18050.39,2,2024
4792,141 - Patrick,23,16906.53,1,2024
5914,141 - Patrick,35,22318.23,7,2024
6782,141 - Patrick,33,21341.74,6,2024
7778,141 - Patrick,22,17137.53,3,2024
8769,141 - Patrick,26,18052.46,5,2024
9889,141 - Patrick,27,21504,11,2024
10881,141 - Patrick,25,17735.69,10,2024
11877,141 - Patrick,35,20974.58,9,2024
938,141 - Patrick,37,22086,4,2025
3925,141 - Patrick,33,27333,2,2025
4919,141 - Patrick,33,21720,1,2025
6909,141 - Patrick,35,21528,6,2025
7904,141 - Patrick,36,21140,3,2025
8895,141 - Patrick,33,21874,5,2025
1063,143 - Pittsylvania,65,16590,8,2017
2061,143 - Pittsylvania,69,18547,12,2017
5044,143 - Pittsylvania,76,28012,7,2017
9020,143 - Pittsylvania,64,15891,11,2017
10013,143 - Pittsylvania,72,13440,10,2017
11006,143 - Pittsylvania,69,16074,9,2017
67,143 - Pittsylvania,67,14817,4,2018
1188,143 - Pittsylvania,62,23816,8,2018
2186,143 - Pittsylvania,67,23626,12,2018
3055,143 - Pittsylvania,68,20115,2,2018
4050,143 - Pittsylvania,66,18786,1,2018
5169,143 - Pittsylvania,65,24399,7,2018
6038,143 - Pittsylvania,69,17670,6,2018
7034,143 - Pittsylvania,66,14280,3,2018
8030,143 - Pittsylvania,68,16290,5,2018
9144,143 - Pittsylvania,58,19549,11,2018
10138,143 - Pittsylvania,57,17646,10,2018
11131,143 - Pittsylvania,57,18808,9,2018
192,143 - Pittsylvania,78,25673,4,2019
1313,143 - Pittsylvania,88,31200,8,2019
2310,143 - Pittsylvania,91,26568,12,2019
3180,143 - Pittsylvania,67,24403,2,2019
4175,143 - Pittsylvania,71,20509,1,2019
5293,143 - Pittsylvania,76,26529,7,2019
6163,143 - Pittsylvania,82,26404,6,2019
7159,143 - Pittsylvania,76,22889,3,2019
8155,143 - Pittsylvania,74,23124,5,2019
9268,143 - Pittsylvania,89,27859.2,11,2019
10262,143 - Pittsylvania,78,25053,10,2019
11256,143 - Pittsylvania,88,26730,9,2019
318,143 - Pittsylvania,91,19128,4,2020
1437,143 - Pittsylvania,64,30702,8,2020
2431,143 - Pittsylvania,58,19285,12,2020
3305,143 - Pittsylvania,93,28428.8,2,2020
4300,143 - Pittsylvania,89,26812,1,2020
5416,143 - Pittsylvania,76,46891,7,2020
6286,143 - Pittsylvania,50,18239,6,2020
7285,143 - Pittsylvania,95,25853.8,3,2020
8277,143 - Pittsylvania,67,18238,5,2020
9390,143 - Pittsylvania,52,18659,11,2020
10383,143 - Pittsylvania,61,17679,10,2020
11378,143 - Pittsylvania,77,30869,9,2020
439,143 - Pittsylvania,58,18455,4,2021
1561,143 - Pittsylvania,91,42696,8,2021
2555,143 - Pittsylvania,117,43896.08,12,2021
3426,143 - Pittsylvania,59,17134,2,2021
4421,143 - Pittsylvania,61,18563,1,2021
5539,143 - Pittsylvania,88,45185,7,2021
6409,143 - Pittsylvania,62,22331,6,2021
7406,143 - Pittsylvania,52,14070,3,2021
8396,143 - Pittsylvania,55,21536,5,2021
9514,143 - Pittsylvania,118,41209.86,11,2021
10507,143 - Pittsylvania,113,41832.8,10,2021
11503,143 - Pittsylvania,106,41320.6,9,2021
563,143 - Pittsylvania,121,49530.5,4,2022
1686,143 - Pittsylvania,142,63729.22,8,2022
2680,143 - Pittsylvania,148,104477.53,12,2022
3549,143 - Pittsylvania,117,42839.16,2,2022
4545,143 - Pittsylvania,113,47228.58,1,2022
5663,143 - Pittsylvania,143,74290.52,7,2022
6533,143 - Pittsylvania,120,48776,6,2022
7530,143 - Pittsylvania,128,43523.88,3,2022
8520,143 - Pittsylvania,119,44383.14,5,2022
9639,143 - Pittsylvania,132,89839.41,11,2022
10632,143 - Pittsylvania,137,54400.57,10,2022
11628,143 - Pittsylvania,139,57408.22,9,2022
688,143 - Pittsylvania,160,113079.99,4,2023
1811,143 - Pittsylvania,232,170534.37,8,2023
2804,143 - Pittsylvania,233,166324.46,12,2023
3674,143 - Pittsylvania,180,113847.94,2,2023
4670,143 - Pittsylvania,156,117542.22,1,2023
5788,143 - Pittsylvania,221,187965.66,7,2023
6658,143 - Pittsylvania,199,138683.79,6,2023
7655,143 - Pittsylvania,161,101571.46,3,2023
8645,143 - Pittsylvania,171,108367.4,5,2023
9763,143 - Pittsylvania,236,169615.57,11,2023
10757,143 - Pittsylvania,236,152504.46,10,2023
11752,143 - Pittsylvania,229,158886.54,9,2023
813,143 - Pittsylvania,222,153761.26,4,2024
1937,143 - Pittsylvania,236,198231.01,8,2024
2931,143 - Pittsylvania,218,141061,12,2024
3799,143 - Pittsylvania,237,178505.77,2,2024
4793,143 - Pittsylvania,229,157851.25,1,2024
5915,143 - Pittsylvania,239,183517.77,7,2024
6783,143 - Pittsylvania,251,181888.82,6,2024
7779,143 - Pittsylvania,234,157669.38,3,2024
8770,143 - Pittsylvania,227,168546.48,5,2024
9890,143 - Pittsylvania,208,156759,11,2024
10882,143 - Pittsylvania,196,136964.82,10,2024
11878,143 - Pittsylvania,229,158046.99,9,2024
939,143 - Pittsylvania,226,145033,4,2025
3926,143 - Pittsylvania,229,166490,2,2025
4920,143 - Pittsylvania,205,149075,1,2025
6910,143 - Pittsylvania,214,144028,6,2025
7905,143 - Pittsylvania,219,136403,3,2025
8896,143 - Pittsylvania,213,152755,5,2025
1064,145 - Powhatan,36,17429,8,2017
2062,145 - Powhatan,34,14639,12,2017
5045,145 - Powhatan,41,18838,7,2017
9021,145 - Powhatan,35,16087,11,2017
10014,145 - Powhatan,36,14224,10,2017
11007,145 - Powhatan,33,19518,9,2017
68,145 - Powhatan,37,16964,4,2018
1189,145 - Powhatan,30,15921,8,2018
2187,145 - Powhatan,28,12639,12,2018
3056,145 - Powhatan,34,17991,2,2018
4051,145 - Powhatan,31,14612,1,2018
5170,145 - Powhatan,28,13796,7,2018
6039,145 - Powhatan,23,8923,6,2018
7035,145 - Powhatan,38,15977,3,2018
8031,145 - Powhatan,27,12868,5,2018
9145,145 - Powhatan,29,14471,11,2018
10139,145 - Powhatan,31,11210,10,2018
11132,145 - Powhatan,30,15574,9,2018
193,145 - Powhatan,29,9176,4,2019
1314,145 - Powhatan,20,9859,8,2019
2311,145 - Powhatan,20,8187,12,2019
3181,145 - Powhatan,28,13436,2,2019
4176,145 - Powhatan,28,13538,1,2019
5294,145 - Powhatan,22,11047,7,2019
6164,145 - Powhatan,22,12960,6,2019
7160,145 - Powhatan,26,11228,3,2019
8156,145 - Powhatan,26,11684,5,2019
9269,145 - Powhatan,20,10538,11,2019
10263,145 - Powhatan,21,9232,10,2019
11257,145 - Powhatan,23,12171,9,2019
319,145 - Powhatan,19,4691,4,2020
1438,145 - Powhatan,20,12401,8,2020
2432,145 - Powhatan,20,9011,12,2020
3306,145 - Powhatan,17,7942,2,2020
4301,145 - Powhatan,21,7835,1,2020
5417,145 - Powhatan,19,16707,7,2020
6287,145 - Powhatan,17,10543,6,2020
7286,145 - Powhatan,19,8700,3,2020
8278,145 - Powhatan,16,6319,5,2020
9391,145 - Powhatan,18,10772,11,2020
10384,145 - Powhatan,20,9138,10,2020
11379,145 - Powhatan,15,8360,9,2020
440,145 - Powhatan,18,9801.4,4,2021
1562,145 - Powhatan,14,11980.8,8,2021
2556,145 - Powhatan,31,20360,12,2021
3427,145 - Powhatan,17,8862,2,2021
4422,145 - Powhatan,16,7523,1,2021
5540,145 - Powhatan,17,13701.4,7,2021
6410,145 - Powhatan,13,9076.8,6,2021
7407,145 - Powhatan,17,8410,3,2021
8397,145 - Powhatan,15,8455.4,5,2021
9515,145 - Powhatan,28,19231,11,2021
10508,145 - Powhatan,25,16407.6,10,2021
11504,145 - Powhatan,25,19321.8,9,2021
564,145 - Powhatan,32,19894.8,4,2022
1687,145 - Powhatan,34,20386,8,2022
2681,145 - Powhatan,50,37703,12,2022
3550,145 - Powhatan,26,14909,2,2022
4546,145 - Powhatan,30,21300,1,2022
5664,145 - Powhatan,30,19736.2,7,2022
6534,145 - Powhatan,37,21045,6,2022
7531,145 - Powhatan,29,14888,3,2022
8521,145 - Powhatan,36,25143,5,2022
9640,145 - Powhatan,44,27779,11,2022
10633,145 - Powhatan,41,21579.2,10,2022
11629,145 - Powhatan,35,18649.6,9,2022
689,145 - Powhatan,51,36957,4,2023
1812,145 - Powhatan,54,38828,8,2023
2805,145 - Powhatan,64,44291,12,2023
3675,145 - Powhatan,48,32022,2,2023
4671,145 - Powhatan,51,35131,1,2023
5789,145 - Powhatan,56,43808,7,2023
6659,145 - Powhatan,52,38355,6,2023
7656,145 - Powhatan,46,27242,3,2023
8646,145 - Powhatan,53,34728,5,2023
9764,145 - Powhatan,67,45803.65,11,2023
10758,145 - Powhatan,60,40581,10,2023
11753,145 - Powhatan,64,44100,9,2023
814,145 - Powhatan,73,44741.43,4,2024
1938,145 - Powhatan,75,63638.05,8,2024
2932,145 - Powhatan,73,50708,12,2024
3800,145 - Powhatan,71,48984,2,2024
4794,145 - Powhatan,69,46254,1,2024
5916,145 - Powhatan,81,56486.25,7,2024
6784,145 - Powhatan,75,51627.49,6,2024
7780,145 - Powhatan,75,47674.11,3,2024
8771,145 - Powhatan,68,49113.26,5,2024
9891,145 - Powhatan,72,51010,11,2024
10883,145 - Powhatan,67,44535.2,10,2024
11879,145 - Powhatan,74,55099.7,9,2024
940,145 - Powhatan,76,51405,4,2025
3927,145 - Powhatan,81,62118,2,2025
4921,145 - Powhatan,74,56256,1,2025
6911,145 - Powhatan,79,57132,6,2025
7906,145 - Powhatan,73,49087,3,2025
8897,145 - Powhatan,70,53985,5,2025
1065,147 - Prince Edward,22,6783,8,2017
2063,147 - Prince Edward,14,3341,12,2017
5046,147 - Prince Edward,21,5875,7,2017
9022,147 - Prince Edward,17,3622,11,2017
10015,147 - Prince Edward,19,5100,10,2017
11008,147 - Prince Edward,22,4937,9,2017
69,147 - Prince Edward,12,2583,4,2018
1190,147 - Prince Edward,17,5921,8,2018
2188,147 - Prince Edward,10,3151,12,2018
3057,147 - Prince Edward,14,4481,2,2018
4052,147 - Prince Edward,11,2208,1,2018
5171,147 - Prince Edward,15,9705,7,2018
6040,147 - Prince Edward,13,4628,6,2018
7036,147 - Prince Edward,11,2443,3,2018
8032,147 - Prince Edward,11,2622,5,2018
9146,147 - Prince Edward,10,2853,11,2018
10140,147 - Prince Edward,REDACTED,1588,10,2018
11133,147 - Prince Edward,REDACTED,2730,9,2018
194,147 - Prince Edward,11,5636,4,2019
1315,147 - Prince Edward,REDACTED,4393,8,2019
2312,147 - Prince Edward,19,6635,12,2019
3182,147 - Prince Edward,13,3520,2,2019
4177,147 - Prince Edward,REDACTED,1803,1,2019
5295,147 - Prince Edward,10,3425,7,2019
6165,147 - Prince Edward,REDACTED,4621,6,2019
7161,147 - Prince Edward,12,4931,3,2019
8157,147 - Prince Edward,REDACTED,4526,5,2019
9270,147 - Prince Edward,15,5312,11,2019
10264,147 - Prince Edward,13,4783,10,2019
11258,147 - Prince Edward,13,5232,9,2019
320,147 - Prince Edward,22,6774,4,2020
1439,147 - Prince Edward,19,8281,8,2020
2433,147 - Prince Edward,17,5861,12,2020
3307,147 - Prince Edward,16,6345,2,2020
4302,147 - Prince Edward,16,5401,1,2020
5418,147 - Prince Edward,23,9885,7,2020
6288,147 - Prince Edward,21,8081,6,2020
7287,147 - Prince Edward,16,5602,3,2020
8279,147 - Prince Edward,21,7512,5,2020
9392,147 - Prince Edward,17,6325,11,2020
10385,147 - Prince Edward,19,5770,10,2020
11380,147 - Prince Edward,15,6010,9,2020
441,147 - Prince Edward,12,5469,4,2021
1563,147 - Prince Edward,16,8167,8,2021
2557,147 - Prince Edward,17,7705,12,2021
3428,147 - Prince Edward,REDACTED,3619,2,2021
4423,147 - Prince Edward,16,5363,1,2021
5541,147 - Prince Edward,14,6849,7,2021
6411,147 - Prince Edward,13,5374,6,2021
7408,147 - Prince Edward,11,2563,3,2021
8398,147 - Prince Edward,12,5810,5,2021
9516,147 - Prince Edward,16,6395,11,2021
10509,147 - Prince Edward,19,10352,10,2021
11505,147 - Prince Edward,13,3999,9,2021
565,147 - Prince Edward,18,8840,4,2022
1688,147 - Prince Edward,24,9681,8,2022
2682,147 - Prince Edward,23,17801,12,2022
3551,147 - Prince Edward,14,5125,2,2022
4547,147 - Prince Edward,15,6530,1,2022
5665,147 - Prince Edward,19,9096,7,2022
6535,147 - Prince Edward,19,8314,6,2022
7532,147 - Prince Edward,17,6663,3,2022
8522,147 - Prince Edward,20,8444,5,2022
9641,147 - Prince Edward,23,15452,11,2022
10634,147 - Prince Edward,23,10057,10,2022
11630,147 - Prince Edward,29,11385,9,2022
690,147 - Prince Edward,28,25755,4,2023
1813,147 - Prince Edward,35,28940,8,2023
2806,147 - Prince Edward,31,26250,12,2023
3676,147 - Prince Edward,27,19612,2,2023
4672,147 - Prince Edward,27,19517,1,2023
5790,147 - Prince Edward,40,32407,7,2023
6660,147 - Prince Edward,40,34740,6,2023
7657,147 - Prince Edward,29,21163,3,2023
8647,147 - Prince Edward,30,22956,5,2023
9765,147 - Prince Edward,29,27709,11,2023
10759,147 - Prince Edward,27,23256,10,2023
11754,147 - Prince Edward,27,23577,9,2023
815,147 - Prince Edward,27,21574,4,2024
1939,147 - Prince Edward,36,33120,8,2024
2933,147 - Prince Edward,24,18215,12,2024
3801,147 - Prince Edward,33,30512,2,2024
4795,147 - Prince Edward,30,20414,1,2024
5917,147 - Prince Edward,42,29383,7,2024
6785,147 - Prince Edward,42,34041,6,2024
7781,147 - Prince Edward,29,22598,3,2024
8772,147 - Prince Edward,28,23877,5,2024
9892,147 - Prince Edward,27,25156,11,2024
10884,147 - Prince Edward,29,23286,10,2024
11880,147 - Prince Edward,37,25505,9,2024
941,147 - Prince Edward,32,28904,4,2025
3928,147 - Prince Edward,32,28222,2,2025
4922,147 - Prince Edward,31,24846,1,2025
6912,147 - Prince Edward,29,24660,6,2025
7907,147 - Prince Edward,32,23055,3,2025
8898,147 - Prince Edward,30,24182,5,2025
1066,149 - Prince George,21,7578,8,2017
2064,149 - Prince George,25,7310,12,2017
5047,149 - Prince George,24,9461,7,2017
9023,149 - Prince George,23,6290,11,2017
10016,149 - Prince George,22,5734,10,2017
11009,149 - Prince George,17,7250,9,2017
70,149 - Prince George,28,9819,4,2018
1191,149 - Prince George,22,11757,8,2018
2189,149 - Prince George,18,9308,12,2018
3058,149 - Prince George,26,8151,2,2018
4053,149 - Prince George,28,8379,1,2018
5172,149 - Prince George,26,10388,7,2018
6041,149 - Prince George,29,10867,6,2018
7037,149 - Prince George,29,8157,3,2018
8033,149 - Prince George,28,9266,5,2018
9147,149 - Prince George,16,8262,11,2018
10141,149 - Prince George,16,7605,10,2018
11134,149 - Prince George,23,9309,9,2018
195,149 - Prince George,26,10859,4,2019
1316,149 - Prince George,30,11477.2,8,2019
2313,149 - Prince George,45,15111.2,12,2019
3183,149 - Prince George,20,11322,2,2019
4178,149 - Prince George,18,7615,1,2019
5296,149 - Prince George,33,12148.6,7,2019
6166,149 - Prince George,25,14099,6,2019
7162,149 - Prince George,24,13149,3,2019
8158,149 - Prince George,24,11291,5,2019
9271,149 - Prince George,35,14957.8,11,2019
10265,149 - Prince George,39,14153.8,10,2019
11259,149 - Prince George,29,13479,9,2019
321,149 - Prince George,41,15071,4,2020
1440,149 - Prince George,27,17012.2,8,2020
2434,149 - Prince George,26,14648.4,12,2020
3308,149 - Prince George,50,16974,2,2020
4303,149 - Prince George,51,15116.4,1,2020
5419,149 - Prince George,27,14894,7,2020
6289,149 - Prince George,30,14506.6,6,2020
7288,149 - Prince George,43,16044.2,3,2020
8280,149 - Prince George,32,15209.8,5,2020
9393,149 - Prince George,27,13638.8,11,2020
10386,149 - Prince George,27,12932.2,10,2020
11381,149 - Prince George,22,11813.4,9,2020
442,149 - Prince George,27,16334,4,2021
1564,149 - Prince George,36,22333.8,8,2021
2558,149 - Prince George,51,27959,12,2021
3429,149 - Prince George,25,14290,2,2021
4424,149 - Prince George,26,16105,1,2021
5542,149 - Prince George,34,21500.8,7,2021
6412,149 - Prince George,31,16266.8,6,2021
7409,149 - Prince George,25,10845,3,2021
8399,149 - Prince George,29,15959.8,5,2021
9517,149 - Prince George,48,28114,11,2021
10510,149 - Prince George,44,20982.6,10,2021
11506,149 - Prince George,39,23765.8,9,2021
566,149 - Prince George,85,52303.6,4,2022
1689,149 - Prince George,98,59481.8,8,2022
2683,149 - Prince George,116,91077,12,2022
3552,149 - Prince George,67,38006.8,2,2022
4548,149 - Prince George,59,37610,1,2022
5666,149 - Prince George,91,60083,7,2022
6536,149 - Prince George,93,51954.4,6,2022
7533,149 - Prince George,77,38527,3,2022
8523,149 - Prince George,88,46025.4,5,2022
9642,149 - Prince George,107,80406,11,2022
10635,149 - Prince George,111,61432.2,10,2022
11631,149 - Prince George,101,64668.2,9,2022
691,149 - Prince George,113,89435,4,2023
1814,149 - Prince George,121,97143,8,2023
2807,149 - Prince George,113,91662,12,2023
3677,149 - Prince George,119,90487,2,2023
4673,149 - Prince George,114,85681,1,2023
5791,149 - Prince George,140,104802,7,2023
6661,149 - Prince George,118,87662,6,2023
7658,149 - Prince George,117,80249,3,2023
8648,149 - Prince George,122,80163,5,2023
9766,149 - Prince George,111,84405,11,2023
10760,149 - Prince George,113,82351.09,10,2023
11755,149 - Prince George,129,100162.19,9,2023
816,149 - Prince George,122,91183,4,2024
1940,149 - Prince George,126,111800,8,2024
2934,149 - Prince George,113,81357,12,2024
3802,149 - Prince George,124,97774,2,2024
4796,149 - Prince George,113,84414,1,2024
5918,149 - Prince George,129,104772,7,2024
6786,149 - Prince George,126,96567,6,2024
7782,149 - Prince George,116,91375,3,2024
8773,149 - Prince George,125,97671,5,2024
9893,149 - Prince George,108,87207,11,2024
10885,149 - Prince George,103,68438,10,2024
11881,149 - Prince George,135,93545,9,2024
942,149 - Prince George,124,88038,4,2025
3929,149 - Prince George,124,97638,2,2025
4923,149 - Prince George,122,91608,1,2025
6913,149 - Prince George,116,90000,6,2025
7908,149 - Prince George,122,81267,3,2025
8899,149 - Prince George,121,95354,5,2025
1067,153 - Prince William,617,381689,8,2017
2065,153 - Prince William,619,355146,12,2017
5048,153 - Prince William,657,410127,7,2017
9024,153 - Prince William,628,362722,11,2017
10017,153 - Prince William,635,316165,10,2017
11010,153 - Prince William,611,381016,9,2017
71,153 - Prince William,679,402282,4,2018
1192,153 - Prince William,689,677549,8,2018
2190,153 - Prince William,659,586182,12,2018
3059,153 - Prince William,670,420201,2,2018
4054,153 - Prince William,641,355572,1,2018
5173,153 - Prince William,734,674579,7,2018
6042,153 - Prince William,716,465095,6,2018
7038,153 - Prince William,668,366516,3,2018
8034,153 - Prince William,701,421675,5,2018
9148,153 - Prince William,638,597233,11,2018
10142,153 - Prince William,651,533394,10,2018
11135,153 - Prince William,664,655413,9,2018
196,153 - Prince William,680,596601,4,2019
1317,153 - Prince William,827,760234.2,8,2019
2314,153 - Prince William,936,711529.75,12,2019
3184,153 - Prince William,659,619386,2,2019
4179,153 - Prince William,665,551951,1,2019
5297,153 - Prince William,793,644280.46,7,2019
6167,153 - Prince William,760,712098,6,2019
7163,153 - Prince William,672,554842,3,2019
8159,153 - Prince William,752,674780,5,2019
9272,153 - Prince William,915,760182.45,11,2019
10266,153 - Prince William,894,663475.96,10,2019
11260,153 - Prince William,873,750344.68,9,2019
322,153 - Prince William,931,693359.06,4,2020
1441,153 - Prince William,761,788440.55,8,2020
2435,153 - Prince William,713,614953.8,12,2020
3309,153 - Prince William,968,830586.96,2,2020
4304,153 - Prince William,940,749819.66,1,2020
5420,153 - Prince William,760,836795.7,7,2020
6290,153 - Prince William,774,690016.78,6,2020
7289,153 - Prince William,933,711901.31,3,2020
8281,153 - Prince William,724,658282.39,5,2020
9394,153 - Prince William,741,679923,11,2020
10387,153 - Prince William,788,625521.7,10,2020
11382,153 - Prince William,739,726426.7,9,2020
443,153 - Prince William,701,645200.2,4,2021
1565,153 - Prince William,989,1068249.6,8,2021
2559,153 - Prince William,1331,1320504.46,12,2021
3430,153 - Prince William,688,573782.9,2,2021
