"","FIPS","Name","2030 Total Population","2030 Total 0-4","2040 Total Population","2040 Total 0-4","2050 Total Population","2050 Total 0-4","City","Population_16plus","Poverty_Percent","Children_U6_Working_Parents","Median_Income","Unemployment_Rate","Licensed_Capacity_Total","Cap_Centers","Cap_Preschools","Cap_Family","Cap_SchoolAge","Infant_Weekly_Cost","Toddler_Weekly_Cost","Preschool_Weekly_Cost","SchoolAge_Weekly_Cost"
"21","51037","Charlotte","10321.892073986706","535.38215867036172","9705.1338480876511","493.30948871230459","9233.6338480876511","475.55246397737398","Charlotte",11953,24.1,461,40924,5.5,78,78,NA,NA,NA,0,0,0,0
"22","51041","Chesterfield","406941.9749490213","23982.135233374833","452491.95844932471","26957.738479473901","504814.45844932471","29489.046080156892","Chesterfield",348500,6.6,17430,84645,4.7,14488,10757,709,269,2753,288,276,233,187
"23","51043","Clarke","15309.360933265996","733.42974214421224","16133.390012043337","773.06947068440593","17198.890012043339","795.75869869080657","Clarke",14498,NA,349,86154,4.6,319,200,20,24,75,246,237,195,136
"24","51045","Craig","4528.1486046500122","206.46879321026046","4363.3417991330389","198.12712244706921","4263.8417991330389","189.42642591558661","Craig",5103,11.9,244,57792,1.7,100,100,NA,NA,NA,150,150,150,105
"25","51047","Culpeper","57577.666682766758","3622.0094904972225","65738.744812774632","4153.574663667373","74883.744812774632","4754.3971305831701","Culpeper",51935,7.8,2453,80663,4.6,2425,843,274,58,1250,250,226,196,115
"26","51049","Cumberland","9164.720445371313","502.02131762777719","9353.7218566127958","500.78326342090787","9682.7218566127958","526.78392170879056","Cumberland",9869,10.5,184,50565,2.3,24,NA,NA,24,NA,0,0,0,0
"27","51051","Dickenson","12168.044084546016","550.87771429892723","10869.853323727837","492.042679858339","9734.3533237278371","445.1339666830055","Dickenson",14524,23.4,447,30116,4.9,104,64,40,NA,NA,0,0,0,0
"28","51053","Dinwiddie","27493.175670331475","1485.2740650888859","28769.577001572456","1547.8057456573972","30476.577001572456","1694.9222273407561","Dinwiddie",28686,11.1,1096,65485,6.3,511,367,72,72,NA,0,240,170,145
"29","51057","Essex","9902.9841164385434","466.14877671406356","10057.452680570585","465.19662980803383","10362.452680570585","488.04016893891185","Essex",10960,NA,644,51125,4.6,311,232,55,24,NA,0,0,0,0
"30","51059","Fairfax","1201420.1369218682","75021.454282128718","1272652.1570167497","80872.029624197326","1362932.1570167497","84589.827804523637","Fairfax",23312,9.8,1450,109708,4.6,8160,3772,1236,822,2330,446,421,388,281
"31","51061","Fauquier","79583.640942108541","4553.3855105000412","87195.078832041268","4989.3789826478151","96111.578832041268","5376.8404579176631","Fauquier",70353,5.5,3235,105665,2.9,3232,1113,263,77,1779,352,276,234,205
"32","51063","Floyd","15448.339808593739","764.66088724891677","16009.719877234813","809.05053004129411","16810.719877234813","843.96448180901518","Floyd",15766,10.1,495,51250,3.1,274,151,51,12,60,0,0,0,0
"33","51065","Fluvanna","28394.074195505636","1510.0770944623259","31523.260720443952","1695.0423031158136","35124.260720443956","1815.6311032661765","Fluvanna",26873,4.7,1178,78885,2.5,333,309,NA,24,NA,0,0,150,0
"34","51067","Franklin","52038.224985306355","2533.4108304759329","54813.325540205806","2677.1757453961113","58408.825540205806","2917.3828819817918","Franklin",8015,17.5,547,49811,9.9,357,233,NA,24,100,147,142,131,128
"35","51069","Frederick","103034.60123854587","6014.1496613081754","117382.71613384692","6879.0326712383048","133487.7161338469","7797.0100472433414","Frederick",88054,5.8,3789,80011,3.3,1159,1046,74,39,NA,232,217,175,132
"36","51071","Giles","16054.52426481049","808.35134528345407","15881.818650713501","803.09589017236726","15946.818650713501","805.08311139733371","Giles",16760,9.8,560,57279,4.1,368,224,44,NA,100,0,0,0,0
"37","51073","Gloucester","39982.546799961492","1839.7084400483266","41329.462401256766","1811.8741178000291","43294.962401256766","1897.6981742955479","Gloucester",37362,7.9,947,71649,3.6,414,252,150,12,NA,160,160,140,130
"38","51075","Goochland","27339.411808266737","1164.5798054856639","30810.269777928333","1357.0945940539671","34742.269777928333","1462.4772153100487","Goochland",23472,4.4,616,97146,3.7,390,230,NA,NA,160,285,255,216,200
"39","51077","Grayson","14916.080286061959","584.32248764330814","13423.173589455853","498.41151432612418","12131.173589455853","451.80990850643752","Grayson",15651,16.4,499,41558,4.3,43,31,NA,12,NA,105,95,85,0
"40","51079","Greene","22375.598927766634","1392.7224598020421","24660.501423027337","1507.1008148246326","27314.501423027337","1623.5703352783612","Greene",19734,9.8,921,67266,4.4,579,227,40,12,300,0,197,188,95
"41","51081","Greensville","10387.931681411947","373.4804815731402","10151.492733655092","356.84096303214864","10066.992733655092","351.68203725509977","Greensville",11403,13.7,440,49756,5.3,32,NA,20,12,NA,0,0,0,0
"42","51083","Halifax","31347.128879774562","1600.7386798916405","29242.945236092004","1481.8452608992804","27576.445236092004","1401.4818180541984","Halifax",34295,15.2,1343,43714,3.9,245,140,100,5,NA,0,0,128,0
"43","51085","Hanover","118373.53214528585","5983.1493966448061","128283.00080906643","6427.7912150273951","140112.50080906643","6837.5041276463407","Hanover",106538,4.9,4418,91444,3.2,5373,4595,338,NA,440,268,256,207,151
"44","51087","Henrico","356656.26372493996","21411.456372546108","386909.82506793668","23179.133604450835","422954.32506793668","25285.777226747505","Henrico",330076,8.8,16919,72295,4.1,17818,11205,1118,363,5132,295,277,227,158
"45","51089","Henry","47060.612783851728","2256.5673048071794","42927.116057979816","2022.0899409246906","39436.116057979816","1872.3021557679153","Henry",51032,15.6,1703,38511,6.3,679,161,40,26,452,175,175,147,0
"46","51091","Highland","2112.2817718252013","78.373806954104083","1931.3745922633286","72.228051674837673","1779.3745922633286","71.917410701458621","Highland",2202,10.2,54,51831,11.4,37,37,NA,NA,NA,185,175,175,130
"47","51093","Isle Of Wight","41340.7942482","2101.1262187911411","45104.705211685548","2267.9756316376538","49543.705211685548","2472.3379785806192","Isle%20Of%20Wight",37107,9.4,1787,77870,4.6,1341,658,59,24,600,275,275,175,0
"48","51095","James","88216.101864948068","4143.112281792367","101768.91097532754","4771.2444392057905","116844.91097532754","5461.4186482813939","James%20City",76032,6.6,2503,91675,4.1,3551,1795,356,NA,1400,216,210,183,159
"49","51097","King And Queen","6181.1101218459353","277.04058259167061","6079.1229567494292","262.64839316342051","6068.1229567494292","264.60321373763816","King%20and%20Queen",7011,NA,223,65385,3.5,150,100,50,NA,NA,0,0,0,0
"50","51099","King George","29433.951596007548","1979.2191680769245","33886.763216807129","2283.4816046343303","38846.763216807129","2575.7812953698549","King%20George",26679,5.3,1112,96711,3.9,670,658,NA,12,NA,195,190,111,0
"51","51101","King William","19402.830927848387","1142.874495544603","21414.319525146693","1275.8190324418745","23746.319525146693","1403.3519281969341","King%20William",16985,7.2,921,73284,4.1,443,271,40,32,100,0,0,0,0
"52","51103","Lancaster","10297.25042942505","355.79215828977664","9826.1804800317623","327.29436746379207","9502.1804800317623","313.41540348379982","Lancaster",10686,14.6,216,59736,9.9,361,NA,147,24,190,0,0,0,0
"53","51105","Lee","18490.104413284629","848.92044125607254","17519.881659060789","786.97224382037177","16811.881659060789","743.97551908819548","Lee",23723,27.5,879,35006,9.7,220,30,190,NA,NA,0,0,0,0
"54","51107","Loudoun","522015.4980546101","39458.311578385692","638144.29458336206","51714.092736898812","763824.29458336206","57188.332745437918","Loudoun",405312,3.2,22539,147111,3.6,19107,15643,1482,1733,249,407,389,354,301
"55","51109","Louisa","41436.403829099225","2304.5282573366817","46721.614266916673","2588.0069615704406","52706.114266916673","2937.0938872123138","Louisa",36654,11.4,1471,67027,5.2,307,194,89,24,NA,200,200,200,0
"56","51111","Lunenburg","10800.92564426531","526.69393766704525","10045.572027946235","490.85746939021533","9440.5720279462348","479.23326860884254","Lunenburg",12294,14.9,748,45884,3.8,72,22,50,NA,NA,0,0,0,0
"57","51113","Madison","14160.074630910334","757.07422996823641","14600.053393880266","781.81180857084416","15258.553393880266","834.56031798029085","Madison",13208,9.6,377,63482,4.1,160,120,40,NA,NA,180,150,150,0
