"","X","STATE_NAME","STATE_ABBREVIATION","COUNTY_NAME","COUNTY_FIPS_CODE","STUDYYEAR","EMR_16","FEMR_16","MEMR_16","EMR_20to64","FEMR_20to64","MEMR_20to64","UNR_16","FUNR_16","MUNR_16","UNR_20to64","FUNR_20to64","MUNR_20to64","FLFPR_20to64","FLFPR_20to64_UNDER6","FLFPR_20to64_6to17","FLFPR_20to64_UNDER6_6to17","MLFPR_20to64","PR_F","PR_P","MHI","MFI","MFI_2022","ME","FME","MME","MHI_2022","ME_2022","FME_2022","MME_2022","TOTALPOP","ONERACE","ONERACE_W","ONERACE_B","ONERACE_I","ONERACE_A","ONERACE_H","ONERACE_OTHER","TWORACES","HISPANIC","HOUSEHOLDS","H_UNDER6_BOTHWORK","H_UNDER6_FWORK","H_UNDER6_MWORK","H_UNDER6_SINGLEM","H_6to17_BOTHWORK","H_6to17_FWORK","H_6to17_MWORK","H_6to17_SINGLEM","EMP_M","MEMP_M","FEMP_M","EMP_SERVICE","MEMP_SERVICE","FEMP_SERVICE","EMP_SALES","MEMP_SALES","FEMP_SALES","EMP_N","MEMP_N","FEMP_N","EMP_P","MEMP_P","FEMP_P","iEMR_16","iFEMR_16","iMEMR_16","iEMR_20to64","iFEMR_20to64","iMEMR_20to64","iUNR_16","iFUNR_16","iMUNR_16","iUNR_20to64","iFUNR_20to64","iMUNR_20to64","iFLFPR_20to64","iFLFPR_20to64_UNDER6","iFLFPR_20to64_6to17","iFLFPR_20to64_UNDER6_6to17","iMLFPR_20to64","iPR_F","iPR_P","iMHI","iMFI","iME","iFME","iMME","iMHI_2022","iMFI_2022","iME_2022","iFME_2022","iMME_2022","iTOTALPOP","iONERACE","iONERACE_W","iONERACE_B","iONERACE_I","iONERACE_A","iONERACE_H","iONERACE_OTHER","iTWORACES","iHISPANIC","iHOUSEHOLDS","iH_UNDER6_BOTHWORK","iH_UNDER6_FWORK","iH_UNDER6_MWORK","iH_UNDER6_SINGLEM","iH_6to17_BOTHWORK","iH_6to17_FWORK","iH_6to17_MWORK","iH_6to17_SINGLEM","iEMP_M","iMEMP_M","iFEMP_M","iEMP_SERVICE","iMEMP_SERVICE","iFEMP_SERVICE","iEMP_SALES","iMEMP_SALES","iFEMP_SALES","iEMP_N","iMEMP_N","iFEMP_N","iEMP_P","iMEMP_P","iFEMP_P","MCBto5","MC6to11","MC12to17","MC18to23","MC24to29","MC30to35","MC36to41","MC42to47","MC48to53","MC54toSA","MCSA","MFCCBto5","MFCC6to11","MFCC12to17","MFCC18to23","MFCC24to29","MFCC30to35","MFCC36to41","MFCC42to47","MFCC48to53","MFCC54toSA","MFCCSA","X_75CBto5","X_75C6to11","X_75C12to17","X_75C18to23","X_75C24to29","X_75C30to35","X_75C36to41","X_75C42to47","X_75C48to53","X_75C54toSA","X_75CSA","X_75FCCBto5","X_75FCC6to11","X_75FCC12to17","X_75FCC18to23","X_75FCC24to29","X_75FCC30to35","X_75FCC36to41","X_75FCC42to47","X_75FCC48to53","X_75FCC54toSA","X_75FCCSA","iMCBto5","iMC6to11","iMC12to17","iMC18to23","iMC24to29","iMC30to35","iMC36to41","iMC42to47","iMC48to53","iMC54toSA","iMCSA","iMFCCBto5","iMFCC6to11","iMFCC12to17","iMFCC18to23","iMFCC24to29","iMFCC30to35","iMFCC36to41","iMFCC42to47","iMFCC48to53","iMFCC54toSA","iMFCCSA","i_75CBto5","i_75C6to11","i_75C12to17","i_75C18to23","i_75C24to29","i_75C30to35","i_75C36to41","i_75C42to47","i_75C48to53","i_75C54toSA","i_75CSA","i_75FCCBto5","i_75FCC6to11","i_75FCC12to17","i_75FCC18to23","i_75FCC24to29","i_75FCC30to35","i_75FCC36to41","i_75FCC42to47","i_75FCC48to53","i_75FCC54toSA","i_75FCCSA","MCINFANT","MCInfant_flag","MCTODDLER","MCToddler_flag","MCPRESCHOOL","MCPreschool_flag","X_75CINFANT","X_75CInfant_flag","X_75CTODDLER","X_75CToddler_flag","X_75CPRESCHOOL","X_75CPreschool_flag","MFCCINFANT","MFCCInfant_flag","MFCCTODDLER","MFCCToddler_flag","MFCCPRESCHOOL","MFCCPreschool_flag","X_75FCCINFANT","X_75FCCInfant_flag","X_75FCCTODDLER","X_75FCCToddler_flag","X_75FCCPRESCHOOL","X_75FCCPreschool_flag","STATE_FIPS","EMR_16_STATE","FEMR_16_STATE","MEMR_16_STATE","EMR_20to64_STATE","FEMR_20to64_STATE","MEMR_20to64_STATE","UNR_16_STATE","FUNR_16_STATE","MUNR_16_STATE","UNR_20to64_STATE","FUNR_20to64_STATE","MUNR_20to64_STATE","FLFPR_20to64_STATE","FLFPR_20to64_UNDER6_STATE","FLFPR_20to64_6to17_STATE","FLFPR_20to64_UNDER6_6to17_STATE","MLFPR_20to64_STATE","PR_F_STATE","PR_P_STATE","MHI_STATE","MFI_STATE","MFI_2022_STATE","ME_STATE","FME_STATE","MME_STATE","MHI_2022_STATE","ME_2022_STATE","FME_2022_STATE","MME_2022_STATE","TOTALPOP_STATE","ONERACE_STATE","ONERACE_W_STATE","ONERACE_B_STATE","ONERACE_I_STATE","ONERACE_A_STATE","ONERACE_H_STATE","ONERACE_OTHER_STATE","TWORACES_STATE","HISPANIC_STATE","HOUSEHOLDS_STATE","H_UNDER6_BOTHWORK_STATE","H_UNDER6_FWORK_STATE","H_UNDER6_MWORK_STATE","H_UNDER6_SINGLEM_STATE","H_6to17_BOTHWORK_STATE","H_6to17_FWORK_STATE","H_6to17_MWORK_STATE","H_6to17_SINGLEM_STATE","EMP_M_STATE","MEMP_M_STATE","FEMP_M_STATE","EMP_SERVICE_STATE","MEMP_SERVICE_STATE","FEMP_SERVICE_STATE","EMP_SALES_STATE","MEMP_SALES_STATE","FEMP_SALES_STATE","EMP_N_STATE","MEMP_N_STATE","FEMP_N_STATE","EMP_P_STATE","MEMP_P_STATE","FEMP_P_STATE","iEMR_16_STATE","iFEMR_16_STATE","iMEMR_16_STATE","iEMR_20to64_STATE","iFEMR_20to64_STATE","iMEMR_20to64_STATE","iUNR_16_STATE","iFUNR_16_STATE","iMUNR_16_STATE","iUNR_20to64_STATE","iFUNR_20to64_STATE","iMUNR_20to64_STATE","iFLFPR_20to64_STATE","iFLFPR_20to64_Under6_STATE","iFLFPR_20to64_6to17_STATE","iFLFPR_20to64_Under6_6to17_STATE","iMLFPR_20to64_STATE","iPR_F_STATE","iPR_P_STATE","iMHI_STATE","iMFI_STATE","iME_STATE","iFME_STATE","iMME_STATE","iMHI_2022_STATE","iMFI_2022_STATE","iME_2022_STATE","iFME_2022_STATE","iMME_2022_STATE","iTOTALPOP_STATE","iONERACE_STATE","iONERACE_W_STATE","iONERACE_B_STATE","iONERACE_I_STATE","iONERACE_A_STATE","iONERACE_H_STATE","iONERACE_OTHER_STATE","iTWORACES_STATE","iHISPANIC_STATE","iHOUSEHOLDS_STATE","iH_UNDER6_BOTHWORK_STATE","iH_UNDER6_FWORK_STATE","iH_UNDER6_MWORK_STATE","iH_UNDER6_SINGLEM_STATE","iH_6to17_BOTHWORK_STATE","iH_6to17_FWORK_STATE","iH_6to17_MWORK_STATE","iH_6to17_SINGLEM_STATE","iEMP_M_STATE","iMEMP_M_STATE","iFEMP_M_STATE","iEMP_SERVICE_STATE","iMEMP_SERVICE_STATE","iFEMP_SERVICE_STATE","iEMP_SALES_STATE","iMEMP_SALES_STATE","iFEMP_SALES_STATE","iEMP_N_STATE","iMEMP_N_STATE","iFEMP_N_STATE","iEMP_P_STATE","iMEMP_P_STATE","iFEMP_P_STATE","POPPCT_URB","Urban"
"710",710,"Virginia","VA","King and Queen County",51097,2012,58.7,53.8,63.8,74.2,35.8,77.5,5.7,5.3,6.1,4.5,3.2,5.7,73.2,81.5,73.2,87.4,82.2,6,8.1,49410,57555,74246,28870,24275,36222,63739,37242,31315,46726,6968,99.6,68.3,30.8,0.3,0.2,0,0.1,0.4,2.8,2924,277,83,3,93,378,318,0,188,21.2,14.1,29.4,18,11.1,26,21.2,9,35.3,21.4,39.8,0,18.3,26,9.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,142,142,142,133,112,112,112,112,112,112,100,120,120,120,100,91,91,91,91,91,91,78,170,170,170,148,130,130,130,130,130,130,125,125,125,125,118,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,2,112,1,112,1,170,2,130,1,130,1,120,2,91,1,91,1,125,2,100,1,100,1,51,60.2,56.9,63.7,72.2,75,69.4,6.9,6.6,7.3,6.3,6.1,6.5,74.6,69,69,79.5,83.7,8.6,11.7,61741,74485,96086,28629,38017,44776,79646,36931,49042,57761,8185867,96.8,69.2,19.3,0.3,5.7,0.1,2.3,3.2,8.4,3038967,179893,158207,9538,113325,431947,226260,31887,226219,41.9,39.5,44.5,16.9,14.1,20,23.1,16.4,30.2,8.5,15.8,0.8,9.6,14.3,4.6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"711",711,"Virginia","VA","King and Queen County",51097,2013,58.4,51.3,65.8,72.4,67.2,77.4,6.1,5.2,6.8,5.1,3.6,6.4,69.8,77.6,72.6,86.7,82.7,6.4,9.2,48372,55182,70081,30028,24248,37338,61432,38136,30795,47419,7020,99.6,68.3,30.2,0.8,0.1,0,0.2,0.4,3.1,2863,347,108,6,97,366,234,0,148,24.6,17.1,34,17.9,11.2,26.4,17.5,6,31.8,22.9,41.3,0,17.1,24.5,7.8,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146.33,146.33,146.33,133.67,114.67,114.67,114.67,114.67,114.67,114.67,105,121.67,121.67,121.67,105,94,94,94,94,94,94,82,170,170,170,150.33,131.67,131.67,131.67,131.67,131.67,131.67,125,126.67,126.67,126.67,120.33,108.33,108.33,108.33,108.33,108.33,108.33,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146.33,2,114.67,1,114.67,1,170,2,131.67,1,131.67,1,121.67,2,94,1,94,1,126.67,2,108.33,1,108.33,1,51,60.4,56.7,64.3,72.2,68.9,75.6,6.6,6.7,6.6,6.2,6.3,6.1,74.1,68.2,68.6,79.1,83.8,8.4,11.7,62666,75524,95915,33742,27499,40779,79586,42852,34924,51789,8260405,96.7,69.3,19.3,0.2,5.9,0.1,2,3.3,8.6,3055863,231952,152895,8731,157537,547519,222384,28684,299011,42.2,39.6,45.1,17.4,14.7,20.4,22.6,16.5,29.3,8.3,15.4,0.7,9.4,14,4.6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"712",712,"Virginia","VA","King and Queen County",51097,2014,58.5,48.5,68.7,73.9,66.2,81.1,5,6.6,3.7,4,5.1,3.1,69.8,73.6,72.2,86.2,83.7,9.5,11.3,47804,52589,65210,29218,24525,36023,59277,36230,30411,44669,7073,98.2,68.7,28.1,1.1,0.2,0,0.1,1.8,3.2,2832,192,72,10,102,341,157,0,412,22.7,17.3,30.1,19,12.5,28,19.1,8.7,33.4,23,39.7,0,16.2,21.9,8.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,150.67,150.67,150.67,134.33,117.33,117.33,117.33,117.33,117.33,117.33,110,123.33,123.33,123.33,110,97,97,97,97,97,97,86,170,170,170,152.67,133.33,133.33,133.33,133.33,133.33,133.33,125,128.33,128.33,128.33,122.67,116.67,116.67,116.67,116.67,116.67,116.67,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,150.67,2,117.33,1,117.33,1,170,2,133.33,1,133.33,1,123.33,2,97,1,97,1,128.33,2,116.67,1,116.67,1,51,60.6,57,64.4,73,70.1,76,6.1,5.9,6.2,5.6,5.5,5.7,74.8,69,68.3,78.8,83.8,8.3,11.8,64902,78290,97080,35108,28663,41266,80478,43534,35542,51170,8326289,96.7,68.9,19.2,0.3,6.1,0.1,2.1,3.3,2.8,3083820,247162,145148,8833,143402,538796,239476,30681,297568,42.9,40.5,45.5,17,13.8,20.4,22.1,15.8,28.9,8.4,15.5,0.8,9.6,14.5,4.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"713",713,"Virginia","VA","King and Queen County",51097,2015,57,47.5,66.8,73.1,64.5,81.4,5.5,6,5.1,4.8,5,4.6,67.9,55.2,71.1,84.9,85.4,8.2,13.4,48292,53365,66173,31170,25570,35659,59882,38651,31707,44217,7106,96.6,68.8,26.5,0.8,0.2,0,0.2,3.4,3.3,2894,154,110,10,116,319,126,0,464,26.8,17.8,38.9,18.6,15.4,23,19.3,11,30.7,20.6,35.5,0.4,14.7,20.4,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,155,155,155,135,120,120,120,120,120,120,115,125,125,125,115,100,100,100,100,100,100,90,170,170,170,155,135,135,135,135,135,135,125,130,130,130,125,125,125,125,125,125,125,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,2,120,1,120,1,170,2,135,1,135,1,125,2,100,1,100,1,130,2,125,1,125,1,51,60.7,57.3,64.3,73.1,70.2,75.9,5.5,5.5,5.5,5.1,5.2,5.1,74.8,71.8,67.4,77.7,83.7,7.8,11.2,66262,80403,99700,35296,42342,54392,82165,43767,52504,67446,8382993,96.5,68.2,19.2,0.3,6.3,0.1,2.4,3.5,9,3106895,243703,140916,10382,151169,540684,224678,30048,301996,43,40.2,45.9,16.8,13.7,20.2,22.1,16.1,28.6,8.5,15.8,0.8,9.6,14.2,4.6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"714",714,"Virginia","VA","King and Queen County",51097,2016,53.9,45.1,63,71,62.8,78.6,6,7.2,5.1,5.9,7.6,4.6,68,54.7,69,80.8,82.4,7.5,14.2,48852,54596,67153,33558,26004,38224,60088,41276,31985,47016,7140,96.2,68.6,26.5,0.6,0.2,0,0.3,3.8,3.1,2807,138,121,13,121,334,108,0,396,27.4,20.1,37.4,20.4,11.6,32.5,17.1,10.8,25.7,17.7,30.4,0.5,17.3,27.2,3.9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,160,160,160,141.67,123.33,123.33,123.33,123.33,123.33,123.33,116.67,128.33,128.33,128.33,118.33,105,105,105,105,105,105,93.33,175,175,175,160,140,140,140,140,140,140,126.67,136.67,136.67,136.67,130,125,125,125,125,125,125,108.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,160,2,123.33,1,123.33,1,175,2,140,1,140,1,128.33,2,105,1,105,1,136.67,2,125,1,125,1,51,60.9,57.3,64.6,73.8,70.7,77,5,4.9,5.1,4.6,4.6,4.6,74.8,74.4,78,67.2,84.2,7.6,11,68114,83306,102466,36282,30591,41905,83780,44627,37627,51543,8411808,96.3,67.8,19,0.3,6.3,0.1,2.7,3.7,9,3120692,247496,135187,13947,135887,539822,220386,37253,303826,43.5,40.6,46.6,16.4,13.6,19.5,22.1,15.9,28.8,8.5,15.6,0.8,9.5,14.4,4.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"715",715,"Virginia","VA","King and Queen County",51097,2017,54.2,44.6,63.9,72.4,63.1,81.6,4.4,5.7,3.4,4.7,5.8,3.8,67,47,72.5,72.5,84.8,9.5,15.6,51495,57069,69053,35597,29635,38889,62309,43072,35858,47056,7052,95.1,68.2,26.1,0.6,0,0,0.1,4.9,3.2,2811,93,110,18,174,278,119,12,413,27.8,21.5,36.7,20.5,12.3,32.2,17.4,10.5,27.2,18.7,31.6,0.5,15.6,24.2,3.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,165,165,165,148.33,126.67,126.67,126.67,126.67,126.67,126.67,118.33,131.67,131.67,131.67,121.67,110,110,110,110,110,110,96.67,180,180,180,165,145,145,145,145,145,145,128.33,143.33,143.33,143.33,135,125,125,125,125,125,125,116.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,165,2,126.67,1,126.67,1,180,2,145,1,145,1,131.67,2,110,1,110,1,143.33,2,125,1,125,1,51,61.1,57.7,64.7,74.1,71.2,77.1,4.6,4.6,4.6,4.2,4.2,4.2,75,73.5,79.8,66.8,84.1,7.1,10.6,71535,86279,104398,37483,31126,45226,86557,45354,37662,54723,8470020,96.1,67.5,19.2,0.3,6.4,0,2.6,3.9,9.3,3120880,252763,142732,7535,135468,576521,213181,24004,289128,44.1,41.1,47.2,17.1,14.4,19.9,21.3,15.2,27.7,8.2,15.2,0.8,9.4,14.2,4.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"716",716,"Virginia","VA","King and Queen County",51097,2018,52.4,41.4,63.7,69.8,58.9,80.3,5.9,12.7,0.8,6.4,13.3,0.9,67.9,36.8,82.2,68.9,81,9.9,16.5,54516,63209,74587,35792,28182,38978,64329,42235,33255,45994,7052,94.4,68.4,25.5,0.3,0,0,0.1,5.6,3.2,2826,98,171,0,93,370,99,9,411,24.9,18.7,34.2,22.6,15.4,33.6,16.5,9.2,27.4,20.1,32.8,1.1,15.9,23.9,3.8,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,170,170,170,155,130,130,130,130,130,130,120,135,135,135,125,115,115,115,115,115,115,100,185,185,185,170,150,150,150,150,150,150,130,150,150,150,140,125,125,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,2,130,1,130,1,185,2,150,1,150,1,135,2,115,1,115,1,150,2,125,1,125,1,51,61,57.2,64.9,74.3,71.1,77.6,4.2,4.3,4.1,3.9,4,3.7,74.8,72.1,79.8,65.2,84.2,7.1,10.7,72577,88929,104936,39324,32079,45839,85641,46402,37853,54090,8517685,95.9,67.4,19.2,0.3,6.5,0.1,2.5,4.1,9.5,3175524,245663,140317,9658,139551,564957,210485,25866,298594,44.7,41.6,48,16.4,13.6,19.5,19.7,14,25.8,8.3,15.1,0.9,11,15.8,5.9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"717",717,"Virginia","VA","King and Queen County",51097,2019,54.5,48.9,60.3,72.8,68.5,76.9,3,5.9,0.6,3.4,6.4,0.6,73.2,42.6,89.8,71.4,77.4,3.9,12.4,63982,73393,85136,39238,33229,43704,74219,45516,38546,50697,7042,94.9,67.5,26.5,0,0,0,0.8,5.1,3.2,2707,63,188,43,107,459,84,23,139,29.9,23.8,37.4,22.9,17,30.2,19,11.2,28.7,16.7,29.5,1,11.5,18.6,2.7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,175,175,161.67,133.33,133.33,133.33,133.33,133.33,133.33,121.67,138.33,138.33,138.33,128.33,120,120,120,120,120,120,103.33,190,190,190,175,155,155,155,155,155,155,131.67,156.67,156.67,156.67,145,130.43,130.43,130.43,130.43,130.43,130.43,133.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2,133.33,1,133.33,1,190,2,155,1,155,1,138.33,2,120,1,120,1,156.67,2,130.43,1,130.43,1,51,61.5,58.5,64.6,74.8,72.7,77.1,4,4.1,3.9,3.6,3.7,3.4,76.3,75.7,80.5,69.6,83.9,6.5,9.9,76456,93497,108457,40405,33628,46552,88689,46870,39008,54000,8535519,96.2,67,19.4,0.3,6.6,0.1,2.9,3.8,9.7,3191847,263423,124776,9100,132483,561540,203854,24241,295450,45.4,42,49,17.1,14.3,20.1,19,13.5,24.8,7.8,14.6,0.8,10.7,15.7,5.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"718",718,"Virginia","VA","King and Queen County",51097,2020,59.8,53.4,66.1,77,73.7,80.2,3.5,7,0.6,4.1,7.7,0.7,79.9,63.7,95.2,80,80.8,4.5,13,65385,84036,96641,41491,35547,47340,75193,47715,40879,54441,7011,97,66.8,28.3,0.1,0,0,1.8,3,3.4,2816,98,94,45,161,472,64,16,108,35.6,30.9,41.3,19.4,12.6,27.9,15.2,5.8,26.8,16.8,30.4,0,13,20.3,3.9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,180,180,180,168.33,136.67,136.67,136.67,136.67,136.67,136.67,123.33,141.67,141.67,141.67,131.67,125,125,125,125,125,125,106.67,195,195,195,180,160,160,160,160,160,160,133.33,163.33,163.33,163.33,150,135.87,135.87,135.87,135.87,135.87,135.87,141.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,180,2,136.67,1,136.67,1,195,2,160,1,160,1,141.67,2,125,1,125,1,163.33,2,135.87,1,135.87,1,51,61,57.6,64.6,74.2,71.4,77.1,4.6,4.6,4.7,4.2,4.3,4.2,75.4,73.7,79.6,68.4,84.4,6.8,10,76398,93284,107277,40573,33347,47627,87858,46659,38349,54771,8509358,95.2,66.3,19,0.3,6.7,0.1,2.8,4.8,9.5,3184121,256341,137506,10682,136451,563345,211811,29024,288131,45.3,42.1,48.7,16.4,13.9,19.1,19.8,13.8,26.1,8,14.8,0.8,10.5,15.4,5.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"719",719,"Virginia","VA","King and Queen County",51097,2021,59.9,51.9,67.6,75.1,67.8,81.7,3.2,5.9,1.2,3.2,5.4,1.4,71.7,79.8,88.6,86.1,82.9,6.8,14.3,61672,78906,86008,42450,32193,49283,67222,46271,35090,53719,6690,94.7,66.9,24.4,0.3,0,0,3.2,5.3,3.5,2803,140,67,67,125,390,83,19,168,33.2,28.7,39.3,15.6,11.4,21.3,18.5,8.7,31.5,18.3,31.6,0.4,14.4,19.6,7.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,60.3,56.7,64,73.9,71.2,76.7,4.8,5,4.6,4.5,4.8,4.3,75.8,72.8,80.6,66.8,84,6.9,10.2,80963,100763,109832,43963,36901,51234,88250,47920,40222,55845,8642274,90.5,60.8,18.4,0.4,6.8,0.1,4,9.5,10.2,3331461,248255,130212,10152,124205,577484,217779,29981,299900,48.3,45.2,51.7,15.4,12.8,18.2,18.3,13.1,23.9,7.5,13.6,0.9,10.6,15.4,5.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
